version,N,hilos,corridas,tiempo_prom_s,tiempo_desv_s,tiempo_min_s,tiempo_max_s,fps_prom,update_ms,render_ms,speedup,eficiencia,checksum
Secuencial,5000,1,10,1.340292,0.060762,1.272869,1.429833,89.698000,10.732420,0.426570,1.000000,1.000000,2227288.0649
Paralela v1,5000,8,10,0.369944,0.019256,0.335914,0.397174,325.191600,2.618530,0.454540,3.622957,0.452870,2227288.0649
Paralela v1,5000,16,10,0.293578,0.008305,0.284901,0.314708,409.032500,1.928920,0.507750,4.565377,0.285336,2227288.0649
Paralela v2,5000,8,10,0.293393,0.014242,0.279115,0.319411,409.844200,2.048540,0.387200,4.568242,0.571030,2227288.0649
Paralela v2,5000,16,10,0.247784,0.005981,0.241543,0.260963,484.540600,1.630780,0.423700,5.409112,0.338069,2227288.0649
