version,N,hilos,corridas,tiempo_prom_s,tiempo_desv_s,tiempo_min_s,tiempo_max_s,fps_prom,update_ms,render_ms,speedup,eficiencia,checksum
Secuencial,5000,1,10,1.409599,0.075454,1.278208,1.485006,85.360000,11.286230,0.450730,1.000000,1.000000,2227288.0649
Paralela v1,5000,8,10,0.350106,0.027018,0.308155,0.389287,344.666600,2.376550,0.530710,4.026207,0.503276,2227288.0649
Paralela v1,5000,16,10,0.401922,0.027745,0.352265,0.436807,299.930600,2.654050,0.680170,3.507145,0.219197,2227288.0649
Paralela v2,5000,8,10,0.282212,0.009204,0.269411,0.299200,425.612600,1.953540,0.387750,4.994814,0.624352,2227288.0649
Paralela v2,5000,16,10,0.343333,0.037764,0.295702,0.439258,352.850100,2.250010,0.596930,4.105635,0.256602,2227288.0649
